hotel_id,date,available_rooms,occupied_rooms
H019,2025-12-04,110,80
H020,2025-12-15,88,70
H021,2025-08-28,94,70
H022,2025-11-06,48,38
H023,2025-12-18,105,78
H024,2025-10-09,74,58
H025,2025-12-27,112,80
H026,2025-08-30,108,86
H027,2025-09-13,112,80
H028,2025-08-21,72,60
H029,2025-09-04,70,48
H030,2025-07-02,68,57
H031,2025-09-11,104,79
H032,2025-10-22,115,82
H033,2025-08-21,95,69
H034,2025-10-15,100,74
H035,2025-12-15,84,63
H036,2025-12-15,43,34
H037,2025-11-18,67,53
H038,2025-11-02,99,76
H039,2025-12-03,105,78
H040,2025-12-08,40,30
H041,2025-09-17,86,67
H042,2025-10-21,83,66
H043,2025-11-09,68,57
H044,2025-10-19,64,53
H045,2025-08-15,106,80
H046,2025-10-11,75,61
H047,2025-12-05,60,46
H048,2025-10-21,93,72
H049,2025-11-27,58,43
H050,2025-11-14,114,87
H001,2025-09-24,74,60
H002,2025-08-15,71,49
H003,2025-12-10,95,67
H004,2025-11-24,51,36
H005,2025-11-02,71,52
H006,2025-09-08,117,92
H007,2025-11-23,52,40
H008,2025-12-26,93,76
H009,2025-12-16,53,45
H010,2025-07-30,78,58
H011,2025-07-04,59,47
H012,2025-10-19,58,44
H013,2025-08-20,69,48
H014,2025-08-21,41,35
H015,2025-08-24,75,55
H016,2025-07-31,57,47
H017,2025-09-19,106,84
H018,2025-08-08,42,27
H019,2025-11-14,110,87
H020,2025-09-28,88,67
H021,2025-09-26,94,72
H022,2025-12-06,48,40
H023,2025-12-11,105,81
H024,2025-09-12,74,54
H025,2025-10-13,112,84
H026,2025-11-20,108,79
H027,2025-11-19,112,86
H028,2025-09-09,72,52
H029,2025-10-17,70,48
H030,2025-08-13,68,48
H031,2025-07-21,104,80
H032,2025-08-18,115,84
H033,2025-08-03,95,73
H034,2025-10-01,100,78
H035,2025-12-26,84,63
H036,2025-09-19,43,31
H037,2025-07-03,67,50
H038,2025-12-23,99,72
H039,2025-12-03,105,75
H040,2025-10-17,40,27
H041,2025-11-10,86,66
H042,2025-09-21,83,67
H043,2025-08-31,68,52
H044,2025-08-08,64,44
H045,2025-09-04,106,81
H046,2025-12-06,75,61
H047,2025-12-26,60,49
H048,2025-11-05,93,67
H049,2025-07-13,58,45
H050,2025-10-12,114,87
H001,2025-09-07,74,59
H002,2025-07-24,71,55
H003,2025-11-16,95,74
H004,2025-07-27,51,43
H005,2025-12-19,71,51
H006,2025-10-12,117,93
H007,2025-07-25,52,39
H008,2025-08-25,93,68
H009,2025-10-23,53,37
H010,2025-09-14,78,57
H011,2025-10-13,59,50
H012,2025-09-16,58,45
H013,2025-10-13,69,54
H014,2025-07-25,41,26
H015,2025-09-04,75,52
H016,2025-11-16,57,41
H017,2025-10-29,106,77
H018,2025-07-08,42,30
H019,2025-08-09,110,87
H020,2025-11-14,88,65
H021,2025-09-13,94,71
H022,2025-10-28,48,33
H023,2025-08-06,105,79
H024,2025-09-15,74,52
H025,2025-07-31,112,82
H026,2025-09-01,108,86
H027,2025-10-18,112,80
H028,2025-11-03,72,55
H029,2025-07-30,70,54
H030,2025-12-17,68,50
H031,2025-10-21,104,80
H032,2025-09-25,115,82
H033,2025-11-04,95,74
H034,2025-08-05,100,72
H035,2025-09-28,84,65
H036,2025-11-02,43,33
H037,2025-12-05,67,56
H038,2025-09-26,99,77
H039,2025-11-20,105,78
H040,2025-09-23,40,30
H041,2025-12-11,86,64
H042,2025-12-27,83,68
H043,2025-09-07,68,50
H044,2025-12-23,64,53
H045,2025-10-10,106,85
H046,2025-12-08,75,57
H047,2025-07-01,60,47
H048,2025-09-03,93,73
H049,2025-08-04,58,48
H050,2025-12-09,114,87
H001,2025-10-17,74,54
H002,2025-08-28,71,58
H003,2025-11-09,95,74
H004,2025-12-21,51,35
H005,2025-09-02,71,50
H006,2025-12-07,117,89
H007,2025-07-17,52,40
H008,2025-09-27,93,73
H009,2025-11-17,53,43
H010,2025-11-28,78,57
H011,2025-07-06,59,50
H012,2025-10-23,58,39
H013,2025-09-29,69,47
H014,2025-07-22,41,32
H015,2025-07-15,75,62
H016,2025-10-09,57,47
H017,2025-12-10,106,80
H018,2025-10-11,42,37
H019,2025-12-09,110,82
H020,2025-11-09,88,68
H021,2025-10-31,94,68
H022,2025-07-27,48,32
H023,2025-08-22,105,84
H024,2025-07-16,74,51
H025,2025-11-03,112,89
H026,2025-09-25,108,78
H027,2025-08-31,112,80
H028,2025-08-16,72,57
H029,2025-09-14,70,52
H030,2025-10-23,68,50
H031,2025-12-21,104,81
H032,2025-07-25,115,85
H033,2025-10-14,95,71
H034,2025-07-10,100,75
H035,2025-11-20,84,68
H036,2025-07-05,43,36
H037,2025-09-04,67,49
H038,2025-09-25,99,72
H039,2025-11-28,105,84
H040,2025-09-26,40,27
H041,2025-11-06,86,66
H042,2025-08-01,83,59
H043,2025-10-21,68,47
H044,2025-09-15,64,53
H045,2025-11-04,106,86
H046,2025-12-16,75,62
H047,2025-07-02,60,51
H048,2025-12-06,93,67
H049,2025-12-17,58,40
H050,2025-10-07,114,84
H001,2025-09-18,74,56
H002,2025-07-14,71,49
H003,2025-11-04,95,69
H004,2025-10-16,51,35
H005,2025-09-06,71,58
H006,2025-10-19,117,93
H007,2025-11-06,52,44
H008,2025-07-12,93,66
H009,2025-08-08,53,40
H010,2025-11-03,78,62
H011,2025-10-25,59,43
H012,2025-07-18,58,46
H013,2025-12-30,69,48
H014,2025-07-01,41,31
H015,2025-08-29,75,55
H016,2025-10-05,57,46
H017,2025-07-27,106,82
H018,2025-11-24,42,36
H019,2025-07-23,110,79
H020,2025-10-04,88,65
H021,2025-11-04,94,68
H022,2025-08-24,48,31
H023,2025-08-31,105,76
H024,2025-07-28,74,59
H025,2025-10-17,112,89
H026,2025-11-17,108,77
H027,2025-07-12,112,81
H028,2025-12-09,72,52
H029,2025-11-01,70,48
H030,2025-10-20,68,50
H031,2025-09-19,104,76
H032,2025-10-27,115,82
H033,2025-10-22,95,70
H034,2025-07-12,100,79
H035,2025-10-30,84,59
H036,2025-11-20,43,29
H037,2025-08-07,67,46
H038,2025-10-07,99,70
H039,2025-11-18,105,84
H040,2025-12-06,40,31
H041,2025-07-10,86,65
H042,2025-11-24,83,64
H043,2025-08-26,68,49
H044,2025-08-16,64,54
H045,2025-07-06,106,85
H046,2025-12-10,75,58
H047,2025-08-24,60,45
H048,2025-12-05,93,71
H049,2025-09-02,58,46
H050,2025-11-02,114,91
H001,2025-12-01,74,61
H002,2025-08-07,71,53
H003,2025-09-10,95,73
H004,2025-11-20,51,36
H005,2025-07-09,71,56
H006,2025-10-19,117,88
H007,2025-09-01,52,40
H008,2025-07-07,93,76
H009,2025-11-23,53,39
H010,2025-09-23,78,63
H011,2025-07-22,59,43
H012,2025-10-13,58,48
H013,2025-11-28,69,48
H014,2025-08-10,41,31
H015,2025-08-26,75,54
H016,2025-07-25,57,44
H017,2025-08-22,106,78
H018,2025-08-26,42,35
H019,2025-11-07,110,80
H020,2025-10-01,88,65
H021,2025-11-26,94,67
H022,2025-12-12,48,34
H023,2025-08-18,105,77
H024,2025-12-13,74,58
H025,2025-11-19,112,81
H026,2025-07-06,108,87
H027,2025-08-20,112,80
H028,2025-12-24,72,60
H029,2025-11-26,70,54
H030,2025-11-27,68,49
H031,2025-07-19,104,81
H032,2025-10-22,115,88
H033,2025-09-11,95,68
H034,2025-09-13,100,81
H035,2025-07-22,84,66
H036,2025-12-30,43,38
H037,2025-08-26,67,49
H038,2025-11-04,99,71
H039,2025-08-26,105,79
H040,2025-10-04,40,25
H041,2025-12-01,86,64
H042,2025-10-02,83,65
H043,2025-08-17,68,52
H044,2025-08-07,64,51
H045,2025-07-26,106,85
H046,2025-09-21,75,61
H047,2025-12-22,60,43
H048,2025-09-09,93,69
H049,2025-07-28,58,42
H050,2025-11-23,114,85
H001,2025-11-26,74,52
H002,2025-07-04,71,54
H003,2025-11-30,95,67
H004,2025-12-13,51,40
H005,2025-09-24,71,54
H006,2025-11-26,117,93
H007,2025-11-10,52,37
H008,2025-07-25,93,68
H009,2025-09-13,53,38
H010,2025-08-25,78,61
H011,2025-10-16,59,41
H012,2025-07-23,58,47
H013,2025-12-23,69,53
H014,2025-08-25,41,31
H015,2025-12-03,75,56
H016,2025-11-02,57,39
H017,2025-11-11,106,79
H018,2025-09-20,42,29
H019,2025-08-20,110,85
H020,2025-11-03,88,66
H021,2025-10-04,94,69
H022,2025-08-19,48,33
H023,2025-08-05,105,81
H024,2025-08-20,74,58
H025,2025-11-17,112,87
H026,2025-11-30,108,84
H027,2025-11-09,112,86
H028,2025-08-19,72,59
H029,2025-11-19,70,55
H030,2025-10-11,68,51
H031,2025-08-02,104,82
H032,2025-12-25,115,83
H033,2025-12-04,95,72
H034,2025-09-11,100,80
H035,2025-11-25,84,60
H036,2025-09-14,43,33
H037,2025-12-21,67,51
H038,2025-11-25,99,78
H039,2025-12-05,105,77
H040,2025-08-08,40,25
H041,2025-11-23,86,61
H042,2025-08-02,83,58
H043,2025-11-26,68,54
H044,2025-08-05,64,52
H045,2025-07-31,106,85
H046,2025-08-17,75,58
H047,2025-10-19,60,49
H048,2025-10-25,93,70
H049,2025-12-21,58,40
H050,2025-11-14,114,82
H001,2025-10-09,74,53
H002,2025-09-11,71,54
H003,2025-07-04,95,70
H004,2025-07-29,51,35
H005,2025-08-30,71,54
H006,2025-11-26,117,86
H007,2025-11-09,52,37
H008,2025-07-09,93,72
H009,2025-08-01,53,35
H010,2025-12-30,78,58
H011,2025-07-06,59,45
H012,2025-08-19,58,40
H013,2025-10-11,69,48
H014,2025-12-02,41,35
H015,2025-11-21,75,58
H016,2025-09-02,57,38
H017,2025-08-05,106,83
H018,2025-07-15,42,30
H019,2025-09-08,110,85
H020,2025-07-09,88,62
H021,2025-09-05,94,69
H022,2025-12-18,48,41
H023,2025-11-17,105,78
H024,2025-12-22,74,51
H025,2025-08-30,112,84
H026,2025-07-30,108,77
H027,2025-08-05,112,87
H028,2025-10-19,72,53
H029,2025-12-30,70,53
H030,2025-10-15,68,47
H031,2025-12-15,104,83
H032,2025-07-08,115,85
H033,2025-10-30,95,76
H034,2025-10-04,100,74
H035,2025-12-25,84,67
H036,2025-12-01,43,36
H037,2025-12-30,67,50
H038,2025-12-29,99,72
H039,2025-11-05,105,82
H040,2025-11-15,40,28
H041,2025-09-12,86,66
H042,2025-07-22,83,61
H043,2025-12-08,68,50
H044,2025-07-31,64,46
H045,2025-07-16,106,77
H046,2025-08-30,75,62
H047,2025-12-11,60,44
H048,2025-11-26,93,68
H049,2025-11-11,58,39
H050,2025-10-28,114,82
H001,2025-12-05,74,61
H002,2025-10-07,71,51
H003,2025-12-09,95,69
H004,2025-08-20,51,42
H005,2025-10-21,71,52
H006,2025-07-01,117,86
H007,2025-07-13,52,41
H008,2025-10-18,93,66
H009,2025-09-26,53,43
H010,2025-10-31,78,54
H011,2025-12-25,59,47
H012,2025-12-28,58,39
H013,2025-11-06,69,57
H014,2025-12-22,41,33
H015,2025-12-14,75,55
H016,2025-11-03,57,47
H017,2025-10-31,106,81
H018,2025-08-23,42,28
H019,2025-12-22,110,80
H020,2025-10-05,88,71
H021,2025-12-27,94,75
H022,2025-10-13,48,31
H023,2025-10-28,105,81
H024,2025-07-28,74,61
H025,2025-10-14,112,89
H026,2025-09-05,108,78
H027,2025-12-18,112,82
H028,2025-09-06,72,60
H029,2025-11-05,70,57
H030,2025-07-29,68,56
H031,2025-08-02,104,77
H032,2025-12-19,115,90
H033,2025-11-07,95,73
H034,2025-11-05,100,76
H035,2025-09-01,84,66
H036,2025-10-27,43,33
H037,2025-12-25,67,55
H038,2025-08-01,99,80
H039,2025-10-16,105,78
H040,2025-07-12,40,30
H041,2025-12-18,86,61
H042,2025-08-01,83,60
H043,2025-11-25,68,49
H044,2025-12-28,64,52
H045,2025-12-13,106,80
H046,2025-11-21,75,53
H047,2025-09-23,60,50
H048,2025-09-11,93,74
H049,2025-07-11,58,41
H050,2025-10-30,114,92
H001,2025-11-24,74,59
H002,2025-09-23,71,53
H003,2025-09-08,95,76
H004,2025-12-03,51,34
H005,2025-11-01,71,58
H006,2025-07-03,117,85
H007,2025-07-05,52,39
H008,2025-07-10,93,74
H009,2025-07-26,53,35
H010,2025-12-13,78,62
H011,2025-11-16,59,46
H012,2025-11-05,58,43
H013,2025-11-26,69,54
H014,2025-12-07,41,26
H015,2025-11-10,75,55
H016,2025-11-21,57,39
H017,2025-11-21,106,80
H018,2025-10-10,42,31
H019,2025-09-17,110,82
H020,2025-10-16,88,72
H021,2025-12-19,94,71
H022,2025-12-23,48,35
H023,2025-12-08,105,82
H024,2025-07-29,74,53
H025,2025-12-18,112,90
H026,2025-11-10,108,82
H027,2025-09-18,112,82
H028,2025-10-12,72,51
H029,2025-12-05,70,53
H030,2025-11-05,68,51
H031,2025-11-19,104,77
H032,2025-11-06,115,86
H033,2025-12-07,95,74
H034,2025-08-30,100,73
H035,2025-08-28,84,60
H036,2025-12-25,43,28
H037,2025-07-07,67,50
H038,2025-07-27,99,76
H039,2025-07-13,105,84
H040,2025-08-04,40,33
H041,2025-08-05,86,62
H042,2025-12-29,83,67
H043,2025-11-28,68,47
H044,2025-12-20,64,52
H045,2025-11-11,106,83
H046,2025-07-19,75,57
H047,2025-10-14,60,47
H048,2025-07-16,93,75
H049,2025-08-06,58,41
H050,2025-10-06,114,88
H001,2025-11-25,74,55
H002,2025-07-09,71,59
H003,2025-07-09,95,67
H004,2025-09-10,51,37
H005,2025-11-30,71,54
H006,2025-12-25,117,86
H007,2025-10-08,52,44
H008,2025-09-22,93,74
H009,2025-09-27,53,37
H010,2025-10-22,78,55
H011,2025-10-19,59,45
H012,2025-10-11,58,47
H013,2025-09-21,69,55
H014,2025-11-24,41,35
H015,2025-10-10,75,59
H016,2025-10-24,57,46
H017,2025-09-20,106,84
H018,2025-12-13,42,28
H019,2025-08-14,110,88
H020,2025-08-11,88,70
H021,2025-09-03,94,75
H022,2025-10-21,48,40
H023,2025-08-28,105,78
H024,2025-12-25,74,55
H025,2025-08-05,112,86
H026,2025-08-21,108,78
H027,2025-12-14,112,81
H028,2025-11-18,72,60
H029,2025-11-07,70,58
H030,2025-10-21,68,47
H031,2025-11-10,104,80
H032,2025-09-28,115,82
H033,2025-09-24,95,68
H034,2025-09-21,100,74
H035,2025-07-13,84,65
H036,2025-09-23,43,30
H037,2025-10-22,67,49
H038,2025-10-29,99,75
H039,2025-08-25,105,77
H040,2025-10-16,40,27
H041,2025-12-27,86,67
H042,2025-12-06,83,67
H043,2025-07-28,68,47
H044,2025-09-15,64,52
H045,2025-11-17,106,76
H046,2025-07-22,75,55
H047,2025-12-22,60,49
H048,2025-11-27,93,69
H049,2025-12-10,58,41
H050,2025-12-21,114,83
H001,2025-08-27,74,61
H002,2025-11-14,71,56
H003,2025-09-18,95,71
H004,2025-08-16,51,42
H005,2025-12-11,71,58
H006,2025-12-17,117,88
H007,2025-07-27,52,38
H008,2025-07-29,93,74
H009,2025-08-03,53,45
H010,2025-12-09,78,56
H011,2025-07-22,59,43
H012,2025-09-14,58,45
H013,2025-09-10,69,55
H014,2025-10-28,41,28
H015,2025-09-08,75,54
H016,2025-12-17,57,45
H017,2025-08-29,106,77
H018,2025-09-17,42,31
H019,2025-12-11,110,82
H020,2025-09-13,88,65
H021,2025-09-18,94,73
H022,2025-11-04,48,36
H023,2025-07-16,105,79
H024,2025-10-07,74,55
H025,2025-12-09,112,80
H026,2025-09-26,108,84
H027,2025-07-28,112,82
H028,2025-11-15,72,51
H029,2025-09-30,70,55
H030,2025-07-23,68,57
H031,2025-12-05,104,76
H032,2025-09-15,115,89
H033,2025-08-26,95,71
H034,2025-08-06,100,73
H035,2025-08-18,84,69
H036,2025-12-04,43,29
H037,2025-10-28,67,55
H038,2025-12-04,99,76
H039,2025-10-30,105,79
H040,2025-11-14,40,27
H041,2025-12-01,86,63
H042,2025-08-04,83,68
H043,2025-11-24,68,53
H044,2025-10-27,64,49
H045,2025-08-01,106,86
H046,2025-07-29,75,54
H047,2025-12-29,60,41
H048,2025-10-25,93,74
H049,2025-12-12,58,48
H050,2025-08-15,114,87
H001,2025-07-30,74,57
H002,2025-07-07,71,55
H003,2025-07-10,95,74
H004,2025-07-29,51,41
H005,2025-11-03,71,56
H006,2025-09-27,117,89
H007,2025-07-01,52,45
H008,2025-10-28,93,76
H009,2025-08-03,53,44
H010,2025-10-27,78,63
H011,2025-10-17,59,45
H012,2025-11-24,58,49
H013,2025-12-21,69,53
H014,2025-08-06,41,30
H015,2025-08-23,75,56
H016,2025-07-05,57,41
H017,2025-07-24,106,86
H018,2025-08-14,42,28
H019,2025-08-26,110,88
H020,2025-10-25,88,67
H021,2025-09-06,94,74
H022,2025-12-10,48,35
H023,2025-08-25,105,84
H024,2025-12-08,74,59
H025,2025-09-20,112,87
H026,2025-12-08,108,81
H027,2025-07-06,112,80
H028,2025-08-11,72,58
H029,2025-12-15,70,52
H030,2025-08-23,68,48
H031,2025-10-17,104,80
H032,2025-09-12,115,88
H033,2025-11-14,95,67
H034,2025-07-03,100,78
H035,2025-08-01,84,65
H036,2025-11-17,43,30
H037,2025-10-15,67,46
H038,2025-11-12,99,73
H039,2025-10-20,105,83
H040,2025-08-09,40,32
H041,2025-09-22,86,62
H042,2025-07-14,83,61
H043,2025-08-18,68,53
H044,2025-08-23,64,48
H045,2025-10-22,106,79
H046,2025-07-17,75,58
H047,2025-10-13,60,43
H048,2025-09-27,93,70
H049,2025-07-19,58,40
H050,2025-11-15,114,85
H001,2025-08-31,74,57
H002,2025-10-16,71,53
H003,2025-10-01,95,68
H004,2025-11-06,51,42
H005,2025-10-14,71,59
H006,2025-12-09,117,86
H007,2025-10-02,52,40
H008,2025-09-12,93,74
H009,2025-10-01,53,39
H010,2025-09-08,78,61
H011,2025-11-08,59,44
H012,2025-07-14,58,44
H013,2025-09-27,69,56
H014,2025-10-19,41,30
H015,2025-10-06,75,60
H016,2025-07-02,57,40
H017,2025-07-07,106,82
H018,2025-12-22,42,29
H019,2025-11-26,110,85
H020,2025-12-17,88,69
H021,2025-08-10,94,76
H022,2025-07-28,48,39
H023,2025-08-10,105,83
H024,2025-11-15,74,61
H025,2025-11-20,112,80
H026,2025-09-09,108,85
H027,2025-10-17,112,86
H028,2025-12-12,72,53
H029,2025-08-02,70,48
H030,2025-07-25,68,57
H031,2025-07-13,104,80
H032,2025-10-15,115,89
H033,2025-12-09,95,72
H034,2025-12-08,100,79
H035,2025-07-24,84,62
H036,2025-10-16,43,36
H037,2025-10-14,67,46
H038,2025-10-15,99,80
H039,2025-08-26,105,78
H040,2025-12-12,40,30
H041,2025-09-23,86,69
H042,2025-08-07,83,65
H043,2025-11-26,68,49
H044,2025-07-25,64,54
H045,2025-10-14,106,78
H046,2025-08-24,75,57
H047,2025-08-18,60,48
H048,2025-09-06,93,73
H049,2025-08-19,58,43
H050,2025-09-23,114,83
H001,2025-08-12,74,58
H002,2025-11-07,71,56
H003,2025-11-08,95,72
H004,2025-12-22,51,40
H005,2025-09-19,71,53
H006,2025-08-15,117,91
H007,2025-08-15,52,45
H008,2025-09-18,93,66
H009,2025-08-30,53,41
H010,2025-09-06,78,54
H011,2025-07-26,59,50
H012,2025-09-29,58,47
H013,2025-09-20,69,51
H014,2025-10-27,41,36
H015,2025-08-19,75,56
H016,2025-09-20,57,40
H017,2025-07-27,106,81
H018,2025-11-01,42,30
H019,2025-11-16,110,83
H020,2025-09-26,88,72
H021,2025-10-26,94,71
H022,2025-08-31,48,40
H023,2025-10-15,105,78
H024,2025-09-24,74,61
H025,2025-12-30,112,84
H026,2025-09-15,108,83
H027,2025-12-11,112,86
H028,2025-10-10,72,59
H029,2025-10-06,70,48
H030,2025-10-19,68,48
H031,2025-11-23,104,84
H032,2025-12-20,115,83
H033,2025-11-26,95,75
H034,2025-09-26,100,74
H035,2025-09-01,84,62
H036,2025-10-16,43,33
H037,2025-10-19,67,55
H038,2025-08-21,99,79
H039,2025-09-17,105,82
H040,2025-09-18,40,27
H041,2025-09-21,86,60
H042,2025-09-27,83,67
H043,2025-12-05,68,52
H044,2025-12-22,64,46
H045,2025-10-09,106,84
H046,2025-09-10,75,61
H047,2025-10-10,60,49
H048,2025-09-12,93,69
H049,2025-09-29,58,47
H050,2025-07-03,114,86
H001,2025-11-15,74,53
H002,2025-11-21,71,54
H003,2025-11-13,95,67
H004,2025-10-08,51,34
H005,2025-10-11,71,57
H006,2025-11-24,117,90
H007,2025-11-16,52,43
H008,2025-09-15,93,74
H009,2025-09-11,53,44
H010,2025-12-09,78,58
H011,2025-07-19,59,49
H012,2025-12-23,58,47
H013,2025-09-06,69,53
H014,2025-09-09,41,26
H015,2025-11-26,75,54
H016,2025-09-16,57,39
H017,2025-07-21,106,79
H018,2025-12-20,42,29
H019,2025-09-26,110,85
H020,2025-09-18,88,64
H021,2025-09-29,94,76
H022,2025-10-03,48,36
H023,2025-08-16,105,81
H024,2025-08-05,74,51
H025,2025-08-07,112,87
H026,2025-12-29,108,86
H027,2025-10-16,112,81
H028,2025-11-10,72,59
H029,2025-09-07,70,55
H030,2025-09-17,68,49
H031,2025-11-26,104,76
H032,2025-07-06,115,88
H033,2025-12-30,95,70
H034,2025-11-13,100,81
H035,2025-09-17,84,69
H036,2025-11-06,43,35
H037,2025-11-15,67,47
H038,2025-12-04,99,77
H039,2025-08-01,105,78
H040,2025-11-07,40,29
H041,2025-07-24,86,68
H042,2025-10-12,83,67
H043,2025-09-25,68,55
H044,2025-09-10,64,52
H045,2025-07-31,106,85
H046,2025-09-01,75,53
H047,2025-07-25,60,46
H048,2025-09-04,93,76
H049,2025-07-04,58,40
H050,2025-09-23,114,87
H001,2025-10-11,74,51
H002,2025-10-19,71,54
H003,2025-09-24,95,77
H004,2025-09-20,51,44
H005,2025-12-17,71,56
H006,2025-08-04,117,91
H007,2025-09-25,52,44
H008,2025-08-12,93,67
H009,2025-08-12,53,36
H010,2025-08-22,78,57
H011,2025-11-18,59,42
H012,2025-12-10,58,44
H013,2025-07-13,69,47
H014,2025-07-22,41,31
H015,2025-12-20,75,61
H016,2025-07-25,57,41
H017,2025-10-03,106,77
H018,2025-07-04,42,37
H019,2025-07-31,110,79
H020,2025-12-05,88,64
H021,2025-10-07,94,66
H022,2025-11-04,48,34
H023,2025-07-11,105,81
H024,2025-09-29,74,53
H025,2025-12-19,112,82
H026,2025-11-04,108,82
H027,2025-12-02,112,88
H028,2025-11-02,72,56
H029,2025-09-23,70,51
H030,2025-07-26,68,52
H031,2025-09-01,104,75
H032,2025-07-21,115,92
H033,2025-09-18,95,70
H034,2025-08-21,100,73
H035,2025-07-11,84,66
H036,2025-10-09,43,30
H037,2025-07-30,67,52
H038,2025-09-19,99,72
H039,2025-12-02,105,79
H040,2025-11-11,40,29
H041,2025-08-08,86,67
H042,2025-12-23,83,58
H043,2025-12-22,68,55
H044,2025-09-13,64,50
H045,2025-12-11,106,81
H046,2025-09-25,75,54
H047,2025-09-12,60,42
H048,2025-11-15,93,71
H049,2025-10-29,58,43
H050,2025-10-01,114,90
H001,2025-11-12,74,59
H002,2025-11-30,71,59
H003,2025-12-19,95,68
H004,2025-10-07,51,37
H005,2025-10-22,71,57
H006,2025-09-23,117,90
H007,2025-12-22,52,44
H008,2025-11-20,93,76
H009,2025-10-03,53,38
H010,2025-08-27,78,64
H011,2025-08-16,59,49
H012,2025-09-13,58,46
H013,2025-11-10,69,55
H014,2025-09-18,41,31
H015,2025-10-15,75,61
H016,2025-12-23,57,44
H017,2025-10-28,106,85
H018,2025-08-02,42,29
H019,2025-09-09,110,86
H020,2025-11-08,88,63
H021,2025-07-05,94,74
H022,2025-12-03,48,34
H023,2025-08-28,105,84
H024,2025-09-10,74,59
H025,2025-08-05,112,88
H026,2025-10-07,108,85
H027,2025-08-31,112,86
H028,2025-12-06,72,55
H029,2025-07-08,70,53
H030,2025-11-16,68,55
H031,2025-09-11,104,75
H032,2025-08-23,115,87
H033,2025-11-18,95,72
H034,2025-12-05,100,80
H035,2025-10-13,84,68
H036,2025-11-18,43,34
H037,2025-07-23,67,46
H038,2025-07-04,99,73
H039,2025-08-21,105,85
H040,2025-08-25,40,25
H041,2025-07-22,86,67
H042,2025-07-03,83,63
H043,2025-10-14,68,51
H044,2025-11-07,64,44
H045,2025-07-05,106,84
H046,2025-09-22,75,53
H047,2025-10-31,60,46
H048,2025-08-27,93,70
H049,2025-07-26,58,49
H050,2025-10-22,114,82
H001,2025-09-25,74,57
H002,2025-09-28,71,49
H003,2025-07-31,95,73
H004,2025-08-20,51,39
H005,2025-09-15,71,50
H006,2025-08-22,117,86
H007,2025-08-14,52,37
H008,2025-09-17,93,72
H009,2025-10-04,53,38
H010,2025-10-19,78,54
H011,2025-11-29,59,50
H012,2025-07-13,58,49
H013,2025-08-18,69,51
H014,2025-08-30,41,28
H015,2025-10-21,75,52
H016,2025-07-18,57,42
H017,2025-07-15,106,79
H018,2025-09-14,42,31
H019,2025-11-25,110,81
H020,2025-09-25,88,69
H021,2025-11-27,94,68
H022,2025-07-16,48,36
H023,2025-10-12,105,77
H024,2025-08-03,74,52
H025,2025-08-26,112,82
H026,2025-07-21,108,77
H027,2025-08-10,112,84
H028,2025-09-05,72,50
H029,2025-09-22,70,56
H030,2025-07-24,68,56
H031,2025-12-14,104,74
H032,2025-12-28,115,82
H033,2025-08-27,95,75
H034,2025-09-26,100,74
H035,2025-09-15,84,60
H036,2025-08-13,43,34
H037,2025-08-21,67,47
H038,2025-11-20,99,73
H039,2025-11-14,105,78
H040,2025-11-15,40,33
H041,2025-08-22,86,61
H042,2025-09-16,83,67
H043,2025-12-04,68,50
H044,2025-10-26,64,51
H045,2025-10-30,106,77
H046,2025-09-09,75,53
H047,2025-08-18,60,51
H048,2025-11-29,93,68
H049,2025-10-14,58,48
H050,2025-09-17,114,85
H001,2025-12-20,74,58
H002,2025-08-24,71,59
H003,2025-11-22,95,70
H004,2025-08-08,51,34
H005,2025-08-02,71,59
H006,2025-11-07,117,89
H007,2025-08-08,52,36
H008,2025-10-18,93,66
H009,2025-12-23,53,37
H010,2025-10-23,78,57
H011,2025-12-17,59,45
H012,2025-07-29,58,39
H013,2025-11-01,69,57
H014,2025-11-07,41,26
H015,2025-08-28,75,57
H016,2025-11-01,57,48
H017,2025-08-04,106,84
H018,2025-12-03,42,27
H019,2025-08-25,110,82
H020,2025-11-24,88,67
H021,2025-07-09,94,68
H022,2025-12-24,48,40
H023,2025-07-27,105,81
H024,2025-11-04,74,53
H025,2025-08-09,112,87
H026,2025-08-06,108,78
H027,2025-10-15,112,83
H028,2025-11-09,72,60
H029,2025-10-12,70,56
H030,2025-08-28,68,57
H031,2025-09-21,104,76
H032,2025-08-02,115,85
H033,2025-07-11,95,72
H034,2025-08-08,100,76
H035,2025-12-17,84,63
H036,2025-10-18,43,31
H037,2025-07-10,67,47
H038,2025-12-30,99,71
H039,2025-07-06,105,84
H040,2025-12-22,40,27
H041,2025-08-06,86,64
H042,2025-09-20,83,58
H043,2025-07-11,68,51
H044,2025-12-22,64,54
H045,2025-08-19,106,85
H046,2025-08-18,75,57
H047,2025-11-13,60,43
H048,2025-12-08,93,70
H049,2025-07-27,58,40
H050,2025-12-09,114,86
H001,2025-07-03,74,52
H002,2025-11-15,71,55
H003,2025-07-04,95,72
H004,2025-12-05,51,42
H005,2025-10-09,71,57
H006,2025-07-19,117,90
H007,2025-11-11,52,42
H008,2025-11-12,93,70
H009,2025-12-10,53,38
H010,2025-07-17,78,54
H011,2025-09-02,59,41
H012,2025-12-02,58,47
H013,2025-11-19,69,54
H014,2025-07-25,41,28
H015,2025-12-22,75,58
H016,2025-08-23,57,38
